molecule_chembl_id,canonical_smiles,median_ec50_nM,min_ec50_nM,max_ec50_nM,median_pEC50,bioactivity_class
CHEMBL1479754,Cc1ccc2[nH]c3c(c2c1)CN(C(=O)CN1CCSCC1)CC3,132.0,132.0,132.0,6.8794260687941495,active
CHEMBL3191855,COc1ccc(S(=O)(=O)/N=C2\C=C(Nc3ccc(O)cc3)C(=O)c3ccccc32)cc1,141.0,141.0,141.0,6.85078088734462,active
CHEMBL2095095,O=C1C(Nc2ccccc2)=C/C(=N/S(=O)(=O)c2cccs2)c2ccccc21,143.0,143.0,143.0,6.844663962534938,active
CHEMBL1307207,NC(=O)C1CCN(C2=C(Cl)C(=O)c3ccccc3C2=O)CC1,146.0,146.0,146.0,6.835647144215563,active
CHEMBL1454614,O=C1C=C(N2CCOCC2)c2ccccc2C1=O,150.0,150.0,150.0,6.823908740944319,active
CHEMBL1383986,CCOc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)ccc1OS(=O)(=O)c1ccc(C)cc1,152.0,152.0,152.0,6.818156412055227,active
CHEMBL1718805,COc1ccc(OC)c(NC(=O)Nc2ccc(O)c3ccccc23)c1,152.0,152.0,152.0,6.818156412055227,active
CHEMBL1452061,O=S(=O)([O-])Oc1c[nH]c2ccccc12.[K+],155.0,155.0,155.0,6.809668301829708,active
CHEMBL1734820,COC(=O)COc1c(Cl)cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc1OC,158.0,158.0,158.0,6.801342913045577,active
CHEMBL1559655,CCOc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)ccc1OCc1ccc([N+](=O)[O-])cc1,159.0,159.0,159.0,6.798602875679549,active
CHEMBL1471498,COc1cc(C(=O)c2nccc3cc(OC)c(OC)cc23)c([N+](=O)[O-])cc1OC,160.0,160.0,160.0,6.795880017344075,active
CHEMBL1508839,COC(=O)c1cccc(-c2ccc(C(c3c(C)n[nH]c3O)c3c(C)n[nH]c3O)o2)c1,175.0,175.0,175.0,6.756961951313706,active
CHEMBL1395600,CC(=O)c1ccc(-c2cccc(-c3nc4ccccn4c3NC3CCCCC3)c2)cc1.O=C(O)C(F)(F)F,178.0,178.0,178.0,6.7495799976911055,active
CHEMBL1411044,COc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)ccc1OCc1ccc([N+](=O)[O-])cc1,178.0,178.0,178.0,6.7495799976911055,active
CHEMBL1567246,CCOc1ccc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc1OCC,183.0,183.0,183.0,6.73754891026957,active
CHEMBL3192555,Cc1ccc(NC2=C/C(=N\S(=O)(=O)c3cccs3)c3ccccc3C2=O)c(C)c1,185.0,185.0,185.0,6.732828271596986,active
CHEMBL1706216,C#CCOc1ccc(OC)cc1C(c1c(C)n[nH]c1O)c1c(C)n[nH]c1O,187.0,187.0,187.0,6.7281583934635005,active
CHEMBL1563903,Cc1n[nH]c(O)c1C(c1ccc2c(c1)OCO2)c1c(C)n[nH]c1O,189.0,189.0,189.0,6.723538195826755,active
CHEMBL1499893,O=C(OCn1ncc(Cl)c(Cl)c1=O)c1cccc(C(F)(F)F)c1,190.0,190.0,190.0,6.721246399047171,active
CHEMBL1992432,O=C(CCl)c1c[nH]c(/C=N/Nc2ccc(F)cc2)c1,191.0,191.0,191.0,6.718966632752272,active
CHEMBL1584380,CC1=NNC(=O)C1C(c1ccccc1)C1C(=O)NN=C1C.O=C(O)C(=O)O,194.0,194.0,194.0,6.7121982700697735,active
CHEMBL1469117,COc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)ccc1OS(=O)(=O)c1ccc(C)cc1,195.0,195.0,195.0,6.709965388637482,active
CHEMBL1497295,O=C(CCl)N(c1ccc(Cl)cc1)c1c[nH]c2ccccc12,195.0,195.0,195.0,6.709965388637482,active
CHEMBL1727428,Cc1ccc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc1[N+](=O)[O-],195.0,195.0,195.0,6.709965388637482,active
CHEMBL1432707,COC(=O)c1cc(C)nc2c1C(=O)C(=O)C=C2N1CCOCC1,199.0,199.0,199.0,6.701146923590294,active
CHEMBL1337592,COc1ccc(C(C(=O)NC2CCCCC2)N(C(=O)CCl)c2cccc(Cl)c2)cc1,202.0,202.0,202.0,6.694648630553376,active
CHEMBL1418852,CCOc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)ccc1OC(=O)c1cccc([N+](=O)[O-])c1,205.0,205.0,205.0,6.688246138944246,active
CHEMBL1329597,CCN(CC)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O,209.0,209.0,209.0,6.679853713888946,active
CHEMBL1307520,COc1ccc(OC)c(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)c1,211.0,211.0,211.0,6.675717544702307,active
CHEMBL1383058,COC(=O)c1ccccc1-c1ccc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)o1,214.0,214.0,214.0,6.669586226650809,active
CHEMBL1345835,O=C(NC1CCCC1)C(c1ccc(F)cc1)N(Cc1ccccc1Cl)C(=O)CCl,215.0,215.0,215.0,6.667561540084394,active
CHEMBL1991885,Cc1ccc(O)c(/N=C/C2=C(O)c3ccccc3C2=O)c1,216.0,216.0,216.0,6.665546248849069,active
CHEMBL3190880,CCc1ccc(S(=O)(=O)/N=C2\C=C(Nc3cccc(C(=O)O)c3)C(=O)c3ccccc32)cc1,216.0,216.0,216.0,6.665546248849069,active
CHEMBL1393004,COc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)ccc1OS(=O)(=O)c1ccccc1,217.0,217.0,217.0,6.66354026615147,active
CHEMBL1607263,CCc1ccc(S(=O)(=O)Nc2cc(SCC(=O)O)c(O)c3ccccc23)cc1,217.0,217.0,217.0,6.66354026615147,active
CHEMBL1365234,CCOc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc([N+](=O)[O-])c1O,219.0,219.0,219.0,6.6595558851598815,active
CHEMBL3192701,COc1ccc(/C=N/NC(=O)c2nn(-c3ccccc3)c(=O)c3c(N)scc23)cc1,220.0,220.0,220.0,6.657577319177793,active
CHEMBL1620590,CCOc1ccc(Cl)cc1C(c1c(C)n[nH]c1O)c1c(C)n[nH]c1O,221.0,221.0,221.0,6.655607726314889,active
CHEMBL1519642,COc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)ccc1OC(C)C,223.0,223.0,223.0,6.651695136951839,active
CHEMBL1510339,COC(=O)c1ccc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)cc1,228.0,228.0,228.0,6.642065152999546,active
CHEMBL1980604,CCOC(=O)c1c(NC(C)=O)sc2c1CCC(/C=N/CCCN(CC)CC)=C2Sc1ccccc1,229.0,229.0,229.0,6.6401645176601125,active
CHEMBL1502781,CCOc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc(Br)c1OC,231.0,231.0,231.0,6.636388020107855,active
CHEMBL1568691,Cc1n[nH]c(O)c1C(c1ccc(O)c(Br)c1)c1c(C)n[nH]c1O,232.0,232.0,232.0,6.634512015109101,active
CHEMBL1442136,O=C(NCCc1ccccc1)C(c1cccs1)N(C(=O)CCl)c1ccc(Cl)cc1,233.0,233.0,233.0,6.632644078973981,active
CHEMBL1465938,COc1ccc(S(=O)(=O)Nc2cc(SCC(=O)O)c(O)c3ccccc23)cc1,234.0,234.0,234.0,6.630784142589857,active
CHEMBL1351755,COc1ccc(C(C(=O)NC2CCCCC2)N(C(=O)CCl)c2ccc(Cl)cc2)cc1,236.0,236.0,236.0,6.627087997029893,active
CHEMBL1506351,O=C(COC(=O)c1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O)NC1CC1,238.0,238.0,238.0,6.623423042943488,active
CHEMBL1503106,COC(=O)c1ccccc1NC(=S)NC(=O)c1ccc(C)cc1,239.0,239.0,239.0,6.621602099051863,active
CHEMBL1451836,CCOc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)ccc1O,240.0,240.0,240.0,6.619788758288394,active
CHEMBL1499544,COc1ccc(N(C(=O)CCl)C(C(=O)NCCc2ccccc2)c2cccs2)cc1Cl,240.0,240.0,240.0,6.619788758288394,active
CHEMBL1503656,CSc1ccc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc1,241.0,241.0,241.0,6.617982957425132,active
CHEMBL1331211,O=C(O)CSc1cc(NS(=O)(=O)c2ccc(Br)cc2)c2ccccc2c1O,244.0,244.0,244.0,6.61261017366127,active
CHEMBL1566889,CN1CCN(C2=C(Cl)C(=O)N(c3ccc(Cl)cc3)C2=O)CC1,247.0,247.0,247.0,6.607303046740334,active
CHEMBL1384670,COc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc([N+](=O)[O-])c1O,248.0,248.0,248.0,6.605548319173783,active
CHEMBL1500227,CC(=O)n1cc(N(C(=O)CCl)c2ccc(C)cc2)c2ccccc21,248.0,248.0,248.0,6.605548319173783,active
CHEMBL1568510,Cc1ccc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc1,248.0,248.0,248.0,6.605548319173783,active
CHEMBL1542804,O=[N+]([O-])c1cc(S(=O)(=O)C(F)(F)F)ccc1Sc1nc2ccccc2s1,249.0,249.0,249.0,6.603800652904264,active
CHEMBL1388300,Cc1n[nH]c(O)c1C(c1ccc(-c2ccccc2C(=O)O)o1)c1c(C)n[nH]c1O,256.0,256.0,256.0,6.59176003468815,active
CHEMBL1505358,Cc1n[nH]c(O)c1C(c1cc([N+](=O)[O-])ccc1O)c1c(C)n[nH]c1O,262.0,262.0,262.0,6.581698708680255,active
CHEMBL1598272,COc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc(OC)c1OC,262.0,262.0,262.0,6.581698708680255,active
CHEMBL1982305,Cc1ccc(S(=O)(=O)/N=C2\C=C(Nc3cccc(C(=O)O)c3)C(=O)c3ccccc32)cc1,266.0,266.0,266.0,6.575118363368933,active
CHEMBL1484934,COc1ccc(C(CCN(Cc2ccc(OC)c(OC)c2)C(=O)CCl)c2ccccc2)cc1,269.0,269.0,269.0,6.570247719997592,active
CHEMBL1546297,Cc1n[nH]c(O)c1C(c1ccc([N+](=O)[O-])cc1)c1c(C)n[nH]c1O,270.0,270.0,270.0,6.568636235841012,active
CHEMBL1572077,Cc1n[nH]c(O)c1C(c1ccc(N(C)C)c(Br)c1)c1c(C)n[nH]c1O,274.0,274.0,274.0,6.562249437179612,active
CHEMBL1735239,COc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc(Br)c1OC,274.0,274.0,274.0,6.562249437179612,active
CHEMBL1412588,Cc1n[nH]c(O)c1C(c1cc(Br)ccc1O)c1c(C)n[nH]c1O,275.0,275.0,275.0,6.560667306169737,active
CHEMBL1342337,Cc1cc(C)c(S(=O)(=O)Nc2cc(SCC(=O)O)c(O)c3ccccc23)cc1C,277.0,277.0,277.0,6.557520230935552,active
CHEMBL1609672,CCCc1n[nH]c2c1C(c1ccc(OC)c(Cn3nnc4ccccc43)c1)C(C#N)=C(N)O2,283.0,283.0,283.0,6.548213564475709,active
CHEMBL1389296,COc1ccc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc1Br,289.0,289.0,289.0,6.539102157243452,active
CHEMBL1481463,Cc1n[nH]c(O)c1C(c1ccc(F)cc1)c1c(C)n[nH]c1O,291.0,291.0,291.0,6.536107011014092,active
CHEMBL1794123,CC1=NNC(=O)C1Cc1ccccc1,294.0,294.0,294.0,6.531652669587842,active
CHEMBL1370838,Cc1[nH]c2ccccc2c1C(C#N)(C#N)C1C(=O)c2ccccc2C1=O,297.0,297.0,297.0,6.527243550682788,active
CHEMBL1415513,Cc1n[nH]c(O)c1C(c1ccc(-c2ccc(F)cc2)o1)c1c(C)n[nH]c1O,297.0,297.0,297.0,6.527243550682788,active
CHEMBL1439030,CC(=O)c1c(Cl)nc2cccc3c2c1-c1ccccc1C3=O,297.0,297.0,297.0,6.527243550682788,active
CHEMBL171632,CC1(C)C=C2C(=NN(c3ccccc3)C(N)=C2C#N)CO1,297.0,297.0,297.0,6.527243550682788,active
CHEMBL1445617,Cc1n[nH]c(O)c1C(c1c(C)n[nH]c1O)c1cn(Cc2ccccc2Cl)c2ccccc12,299.0,299.0,299.0,6.52432881167557,active
CHEMBL1537149,Cc1n[nH]c(O)c1C(c1ccc(-c2ccc(Cl)c(Cl)c2)o1)c1c(C)n[nH]c1O,305.0,305.0,305.0,6.515700160653214,active
CHEMBL1987894,CCc1ccc(S(=O)(=O)/N=C2\C=C(Nc3ccc(O)cc3)C(=O)c3ccccc32)cc1,306.0,306.0,306.0,6.514278573518419,active
CHEMBL1447341,O=C(OCn1ncc(Cl)c(Cl)c1=O)c1ccc(C(F)(F)F)cc1,308.0,308.0,308.0,6.511449283499555,active
CHEMBL1359933,CCOc1ccc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc1OC,309.0,309.0,309.0,6.510041520575165,active
CHEMBL1568897,Cc1cccc(CS(=O)(=O)c2ncc(Cl)c(C(=O)Nc3nnc(C(C)C)s3)n2)c1,312.0,312.0,312.0,6.505845405981557,active
CHEMBL1318998,Cc1ccc(S(=O)(=O)N(C(=O)c2ccncc2)c2ccc(OC(=O)c3ccncc3)c3ccccc23)cc1,315.0,315.0,315.0,6.501689446210399,active
CHEMBL1731689,Cn1c(SCC(=O)NCC2CCCO2)ncc(C(=O)Nc2ccc(F)cc2)c1=O,315.0,315.0,315.0,6.501689446210399,active
CHEMBL1430372,COc1ccc2nc3cc(Cl)ccc3c(Nc3cc(C(C)C)c(O)cc3C)c2c1,318.0,318.0,318.0,6.497572880015568,active
CHEMBL1472126,COc1ccc(N(C(=O)CCl)C(C(=O)NCCc2ccccc2)c2cccs2)cc1,327.0,327.0,327.0,6.485452247339714,active
CHEMBL1304902,COc1cccc(N(C(=O)CCl)C(C(=O)NCCc2ccccc2)c2cccs2)c1,329.0,329.0,329.0,6.482804102050025,active
CHEMBL1359282,CC1=NNC(=O)C1Cc1ccccc1C,329.0,329.0,329.0,6.482804102050025,active
CHEMBL1598561,COc1ccc(CN(CCC(c2ccccc2)c2ccc(OC(C)C)cc2)C(=O)CCl)cc1OC,333.0,333.0,333.0,6.47755576649368,active
CHEMBL1455957,CCc1nc2c([nH]1)c1no[n+]([O-])c1c1no[n+]([O-])c21,337.0,337.0,337.0,6.4723700991286615,active
CHEMBL1622566,Cc1n[nH]c(O)c1C(c1ccc(Br)cc1)c1c(C)n[nH]c1O,338.0,338.0,338.0,6.471083299722345,active
CHEMBL1388358,Cc1ccc(N(C(=O)CCl)C(C(=O)NC2CCCCC2)c2cccnc2)cc1C,339.0,339.0,339.0,6.4698003017969175,active
CHEMBL1409740,CCc1ccc(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)cc1,340.0,340.0,340.0,6.468521082957745,active
CHEMBL57013,COC(=O)c1nc(-c2ccc3c(n2)C(=O)C(=N)C(OC)=C3O)c(N)c(-c2ccc(OC)c(OC)c2O)c1C,342.0,342.0,342.0,6.465973893943865,active
CHEMBL1385784,CC(=O)n1cc(N(C(=O)CCl)c2ccc(Cl)cc2)c2ccccc21,346.0,346.0,346.0,6.460923901207224,active
CHEMBL1388137,CC(=O)n1cc(N(C(=O)CCl)c2ccccc2)c2ccccc21,347.0,347.0,347.0,6.459670525209127,active
CHEMBL1347107,COC(=O)c1ccc(-c2ccc(C(c3c(C)n[nH]c3O)c3c(C)n[nH]c3O)o2)cc1,348.0,348.0,348.0,6.458420756053419,active
CHEMBL1540463,CN1C(=O)C(=C2CC(c3ccccc3)N(C(=O)CCl)N2)C(=O)N(C)C1=O,351.0,351.0,351.0,6.454692883534176,active
CHEMBL1521024,Cc1n[nH]c(O)c1C(c1cc2c(cc1Br)OCO2)c1c(C)n[nH]c1O,352.0,352.0,352.0,6.453457336521868,active
CHEMBL1321538,Cc1nn(-c2ccccc2)c(Cl)c1CN(C(=O)CCl)c1ccc(Cl)cc1,355.0,355.0,355.0,6.449771646944906,active
CHEMBL1423501,O=C(CCl)N(C/C=C/c1ccccc1)c1ccc2c(c1)OCCO2,356.0,356.0,356.0,6.448550002027124,active
CHEMBL1491717,CC(=O)n1cc(N(C(=O)CCl)c2ccc([N+](=O)[O-])cc2)c2ccccc21,358.0,358.0,358.0,6.446116973356125,active
CHEMBL1544793,O=C(CCl)N(c1ccccc1)c1c[nH]c2ccccc12,361.0,361.0,361.0,6.442492798094342,active
CHEMBL1989853,O=C1/C(=N\c2cccc(O)c2)C(N2CCCCC2)=C(O)c2ccccc21,364.0,364.0,364.0,6.438898616350944,active
CHEMBL1349637,COC(=O)COc1ccc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc1,377.0,377.0,377.0,6.423658649794207,active
CHEMBL1597358,COc1ccc(-c2cc(O)[nH]n2)cc1OC,380.0,380.0,380.0,6.42021640338319,active
CHEMBL1565816,O=C(Oc1ccc(N2C(=O)CCC2=O)cc1)c1ccco1,388.0,388.0,388.0,6.411168274405792,active
CHEMBL3144999,Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1ccc([N+](=O)[O-])cc1)c1c(C)[nH]n(-c2ccccc2)c1=O,390.0,390.0,390.0,6.4089353929735005,active
CHEMBL3198784,CCOC(=O)c1c(C)oc2c1c(/C=N/CCC(=O)O)c(O)c1ccccc12,390.0,390.0,390.0,6.4089353929735005,active
CHEMBL1331573,CCOC(=O)C(C(=O)OCC)c1cc(Br)c2noc3c2c1C(=O)c1ccccc1-3,393.0,393.0,393.0,6.405607449624574,active
CHEMBL1516914,Cc1ccc(-c2nnc(Sc3nc4ccccc4o3)c3ccccc23)cc1,396.0,396.0,396.0,6.402304814074488,active
CHEMBL1492926,CC1=NN(c2ccc(Cl)c(C(=O)O)c2)C(=O)/C1=C\c1ccc(-c2ccc(C(=O)O)cc2)o1,400.0,400.0,400.0,6.3979400086720375,active
CHEMBL1410350,COc1cc(NCCCCCCCN)c2ncccc2c1.O=C(O)CCC(=O)O,401.0,401.0,401.0,6.396855627379818,active
CHEMBL1537553,O=C1C=C(N(CCO)Cc2ccccc2)c2ccccc2C1=O,402.0,402.0,402.0,6.39577394691553,active
CHEMBL1313973,Clc1ccc(-c2nnc(Sc3nc4ccccc4o3)c3ccccc23)cc1,405.0,405.0,405.0,6.392544976785331,active
CHEMBL3195220,CC1=C(C)/C(=N/OC(=O)c2cccc([N+](=O)[O-])c2)C=CC1=O,418.0,418.0,418.0,6.3788237182249645,active
CHEMBL3216654,COc1cc(NCCCC(C)N)c2ncccc2c1.Cl.Cl,420.0,420.0,420.0,6.376750709602099,active
CHEMBL1993627,OC1=C(/C=N/c2ccc3c(c2)OCO3)CCc2ccccc21,430.0,430.0,430.0,6.366531544420413,active
CHEMBL1537099,CC1=NN(c2ccc(C)cc2C)C(=O)C1C(c1ccccc1)C1C(=O)N(c2ccc(C)cc2C)N=C1C,431.0,431.0,431.0,6.3655227298392685,active
CHEMBL1364176,COc1ccc(-c2cc(O)[nH]n2)cc1,444.0,444.0,444.0,6.35261702988538,active
CHEMBL1537588,Cc1cccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)c1,446.0,446.0,446.0,6.350665141287858,active
CHEMBL1314125,O=C(CCl)N1c2ccccc2CCc2ccccc21,450.0,450.0,450.0,6.346787486224656,active
CHEMBL1580990,COc1ccc(-c2nnc(SC(=O)N3c4ccccc4Sc4ccccc43)o2)cc1,451.0,451.0,451.0,6.345823458122039,active
CHEMBL1558210,O=C1c2ccccc2-c2onc3ccc(Oc4ccccc4)c1c23,452.0,452.0,452.0,6.3448615651886175,active
CHEMBL1557253,COc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc(Cl)c1O,453.0,453.0,453.0,6.343901797987169,active
CHEMBL1569910,Cc1ccc2[nH]c(/C(C#N)=C\c3ccc([N+](=O)[O-])o3)nc2c1,454.0,454.0,454.0,6.342944147142896,active
CHEMBL1506353,Cc1n[nH]c(O)c1C(c1ccc(Cl)cc1)c1c(C)n[nH]c1O,461.0,461.0,461.0,6.336299074610352,active
CHEMBL1373969,O=C(NC1CCCCC1)C(c1cccnc1)N(C(=O)CCl)c1cccc(Cl)c1,467.0,467.0,467.0,6.330683119433887,active
CHEMBL1325219,CC1=NN(c2ccc(C)c(C)c2)C(=O)C1C(c1cccc(O)c1)C1C(=O)N(c2ccc(C)c(C)c2)N=C1C,468.0,468.0,468.0,6.329754146925875,active
CHEMBL1421463,N#CC(C#N)C(c1ccsc1)c1c(-c2ccccc2)n[nH]c1O,468.0,468.0,468.0,6.329754146925875,active
CHEMBL1303810,O=C(OCn1ncc(Br)c(Br)c1=O)c1ccccc1Cl,472.0,472.0,472.0,6.326058001365912,active
CHEMBL1485010,O=C(OCn1ncc(Br)c(Br)c1=O)c1ccc(F)cc1,473.0,473.0,473.0,6.325138859262188,active
CHEMBL1442944,FC(F)(F)c1nnc(-c2ccccc2)nc1Oc1ccc(Cl)cc1Cl,481.0,481.0,481.0,6.317854923626168,active
CHEMBL1463564,Cc1cc(C(=O)c2ccc(Cl)cc2)c(NC(=O)CCl)s1,481.0,481.0,481.0,6.317854923626168,active
CHEMBL1469676,C=CCOc1ccccc1CN(C(=O)CCl)c1ccc2c(c1)OCO2,481.0,481.0,481.0,6.317854923626168,active
CHEMBL1483562,O=C(Nc1ccc(Cl)cc1)/C(=C/c1cccc(O)c1)c1nc2ccccc2s1,481.0,481.0,481.0,6.317854923626168,active
CHEMBL1587181,CC1CCc2c(sc3nc(C(C)(C)C)nc(N4CCN(C(=O)CCl)CC4)c23)C1,481.0,481.0,481.0,6.317854923626168,active
CHEMBL1479725,Cc1ccc2c(c1)c1nnc(SCC(=O)Nc3ccc(N(C)C)cc3)nc1n2CC(=O)O,483.0,483.0,483.0,6.316052869248487,active
CHEMBL1603760,O=C(CCl)N(c1ccccc1)c1ccccc1,484.0,484.0,484.0,6.315154638355588,active
CHEMBL1567159,CN(CCO)c1cc(Sc2nc3ccccc3s2)c2nonc2c1[N+](=O)[O-],490.0,490.0,490.0,6.309803919971486,active
CHEMBL1529238,CCN(CC)C(=O)CSc1nnc2nnc3cc(Cl)ccc3n12,499.0,499.0,499.0,6.30189945437661,active
CHEMBL1374083,Cc1ccc(-c2cc(O)[nH]n2)c(C)c1,502.0,502.0,502.0,6.29929628285498,active
CHEMBL1506757,Cc1cccc(CSc2nc3c(c(-c4cccs4)c2C#N)CN(C)CC3)c1,503.0,503.0,503.0,6.298432014944073,active
CHEMBL1537132,CCCC1C(C#N)=C(N)Oc2[nH]nc(C(C)(C)C)c21,504.0,504.0,504.0,6.297569463554474,active
