activity_id,assay_chembl_id,assay_description,canonical_smiles,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,standard_value_nM,pEC50,normalized_smiles
6765338,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CC(Oc1ccc(F)cc1)C(=O)Oc1ccc(N(C)S(=O)(=O)c2ccccc2)cc1,CHEMBL1201862,CHEMBL1535577,4.23,=,=,EC50,nM,58500.0,CHEMBL1741171,EC50,uM,58.5,58500.0,4.232844133917819,CC(Oc1ccc(F)cc1)C(=O)Oc1ccc(N(C)S(=O)(=O)c2ccccc2)cc1
6720478,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CC(C)(C)n1nnnc1C(c1cccs1)N(Cc1cccnc1)Cc1ccccc1Cl,CHEMBL1201862,CHEMBL1432870,4.23,=,=,EC50,nM,59000.0,CHEMBL1741171,EC50,uM,59.0,59000.0,4.229147988357856,CC(C)(C)n1nnnc1C(c1cccs1)N(Cc1cccnc1)Cc1ccccc1Cl
6776849,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CN1c2ccc(C=O)c3c(C=O)ccc(c23)N(C)C1(C)C,CHEMBL1201862,CHEMBL1312974,4.22,=,=,EC50,nM,59900.0,CHEMBL1741171,EC50,uM,59.9,59900.0,4.2225731776106885,CN1c2ccc(C=O)c3c(C=O)ccc(c23)N(C)C1(C)C
6773079,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1ccc2nc(-c3cccs3)oc(=O)c2c1,CHEMBL1201862,CHEMBL1407193,4.22,=,=,EC50,nM,60500.0,CHEMBL1741171,EC50,uM,60.5,60500.0,4.218244625347531,Cc1ccc2nc(-c3cccs3)oc(=O)c2c1
6772964,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1ccc(Nc2cc(C)nn2-c2nc(C)cc(O)n2)cc1,CHEMBL1201862,CHEMBL586135,4.21,=,=,EC50,nM,61400.0,CHEMBL1741171,EC50,uM,61.4,61400.0,4.211831628858833,Cc1ccc(Nc2cc(C)nn2-c2nc(C)cc(O)n2)cc1
6750328,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1n[nH]c(O)c1C(c1ccc(-c2cccc(Cl)c2)o1)c1c(C)n[nH]c1O,CHEMBL1201862,CHEMBL1572216,4.18,=,=,EC50,nM,66200.0,CHEMBL1741171,EC50,uM,66.2,66200.0,4.1791420105603,Cc1n[nH]c(O)c1C(c1ccc(-c2cccc(Cl)c2)o1)c1c(C)n[nH]c1O
6753920,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",N#Cc1nc(N)nc(N(c2ccccc2)c2ccccc2)n1,CHEMBL1201862,CHEMBL577764,4.18,=,=,EC50,nM,66600.0,CHEMBL1741171,EC50,uM,66.6,66600.0,4.176525770829699,N#Cc1nc(N)nc(N(c2ccccc2)c2ccccc2)n1
6769113,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",O=C(N/N=C/c1cc(Cl)cc([N+](=O)[O-])c1O)c1ccccc1NS(=O)(=O)c1cccs1,CHEMBL1201862,CHEMBL1970867,4.17,=,=,EC50,nM,67200.0,CHEMBL1741171,EC50,uM,67.2,67200.0,4.172630726946175,O=C(N/N=C/c1cc(Cl)cc([N+](=O)[O-])c1O)c1ccccc1NS(=O)(=O)c1cccs1
6765511,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1ccc(N/C([S-])=C(/C(=O)c2ccc(F)cc2)[n+]2ccccc2)cc1,CHEMBL1201862,CHEMBL1333634,4.16,=,=,EC50,nM,69700.0,CHEMBL1741171,EC50,uM,69.7,69700.0,4.15676722190199,Cc1ccc(N/C([S-])=C(/C(=O)c2ccc(F)cc2)[n+]2ccccc2)cc1
6765512,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",O=C(O)c1ccc(-n2c(=O)c3ccccc3c3ccccc3c2=O)cc1,CHEMBL1201862,CHEMBL1451917,4.15,=,=,EC50,nM,70700.0,CHEMBL1741171,EC50,uM,70.7,70700.0,4.150580586203101,O=C(O)c1ccc(-n2c(=O)c3ccccc3c3ccccc3c2=O)cc1
