molecule_chembl_id,canonical_smiles,median_ec50_nM,min_ec50_nM,max_ec50_nM,median_pEC50,bioactivity_class,molecule_pref_name,max_phase,molecule_type,structure_type,metadata_canonical_smiles,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,cx_logp
CHEMBL1449204,CCOC(=O)CS(=O)(=O)c1nc(-c2ccccc2)cc(C(F)(F)F)n1,4150.0,4150.0,4150.0,5.3819519032879075,intermediate,,,Small molecule,MOL,CCOC(=O)CS(=O)(=O)c1nc(-c2ccccc2)cc(C(F)(F)F)n1,OKXFPZQLPGPFOM-UHFFFAOYSA-N,374.34,2.50,86.22,6.0,0.0,5.0,2.0,
CHEMBL1585742,O=C(NCc1ccc2c(c1)OCO2)c1nc(S(=O)(=O)Cc2ccccc2)ncc1Cl,4160.0,4160.0,4160.0,5.380906669373257,intermediate,,,Small molecule,MOL,O=C(NCc1ccc2c(c1)OCO2)c1nc(S(=O)(=O)Cc2ccccc2)ncc1Cl,YXJAEFWDSKWRJT-UHFFFAOYSA-N,445.88,2.76,107.48,7.0,1.0,6.0,3.0,
CHEMBL3195684,C/C(CC(=O)Nc1cccnc1)=N\NC(=O)c1ccc([N+](=O)[O-])c(Cl)c1,4180.0,4180.0,4180.0,5.3788237182249645,intermediate,,,Small molecule,MOL,C/C(CC(=O)Nc1cccnc1)=N\NC(=O)c1ccc([N+](=O)[O-])c(Cl)c1,SXCWRKLTZQLGAC-KEBDBYFISA-N,375.77,2.78,126.59,6.0,2.0,6.0,2.0,
CHEMBL1402682,Cc1ccc(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)c(C)c1,4190.0,4190.0,4190.0,5.377785977033705,intermediate,,,Small molecule,MOL,Cc1ccc(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)c(C)c1,VKUDCHCJVRYMRJ-UHFFFAOYSA-N,320.78,1.96,49.85,4.0,0.0,2.0,1.0,
CHEMBL1408271,CCCc1n[nH]c(O)c1C(c1ccccc1)C(C#N)C#N,4190.0,4190.0,4190.0,5.377785977033705,intermediate,,,Small molecule,MOL,CCCc1n[nH]c(O)c1C(c1ccccc1)C(C#N)C#N,HPFUZDVPMPXMLA-UHFFFAOYSA-N,280.33,2.86,96.49,4.0,2.0,5.0,2.0,
CHEMBL3144874,Cc1[nH]n(-c2ccccc2)c(=O)c1C(C[N+](=O)[O-])c1ccc(F)cc1,4200.0,4200.0,4200.0,5.376750709602099,intermediate,,,Small molecule,MOL,Cc1[nH]n(-c2ccccc2)c(=O)c1C(C[N+](=O)[O-])c1ccc(F)cc1,ZTFMVIJOPZLWHX-UHFFFAOYSA-N,341.34,3.02,80.93,4.0,1.0,5.0,3.0,
CHEMBL1549657,O=C(CCl)N1N=C(c2cccs2)CC1c1ccco1,4210.0,4210.0,4210.0,5.375717904164332,intermediate,,,Small molecule,MOL,O=C(CCl)N1N=C(c2cccs2)CC1c1ccco1,STUMPUWOJMTVDV-UHFFFAOYSA-N,294.76,3.26,45.81,4.0,0.0,3.0,2.0,
CHEMBL1302639,Cc1c(C#N)c(NC(=O)CCl)n(Cc2ccc(F)cc2)c1C,4230.0,4230.0,4230.0,5.373659632624958,intermediate,,,Small molecule,MOL,Cc1c(C#N)c(NC(=O)CCl)n(Cc2ccc(F)cc2)c1C,MIGWOHWMEGTJLT-UHFFFAOYSA-N,319.77,3.34,57.82,3.0,1.0,4.0,2.0,
CHEMBL1310865,CCOc1ccc(S(=O)(=O)Nc2cc(SCC(=O)O)c(O)c3ccccc23)cc1,4230.0,4230.0,4230.0,5.373659632624958,intermediate,,,Small molecule,MOL,CCOc1ccc(S(=O)(=O)Nc2cc(SCC(=O)O)c(O)c3ccccc23)cc1,SGGQBTHMXMJMPS-UHFFFAOYSA-N,433.51,3.92,112.93,6.0,3.0,8.0,3.0,
CHEMBL1557105,Cc1ccc(-n2nnc3c(SCC(=O)NCC4CCCO4)ncnc32)cc1,4230.0,4230.0,4230.0,5.373659632624958,intermediate,,,Small molecule,MOL,Cc1ccc(-n2nnc3c(SCC(=O)NCC4CCCO4)ncnc32)cc1,FKTATLDZMUDZJI-UHFFFAOYSA-N,384.47,1.91,94.82,8.0,1.0,6.0,3.0,
