molecule_chembl_id,molecule_pref_name,max_phase,molecule_type,structure_type,metadata_canonical_smiles,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,cx_logp
CHEMBL1471978,,,Small molecule,MOL,CCOC(=O)/C(C#N)=C\c1ccc(O)c(OC)c1,WQWLESVDQFOXPT-POHAHGRESA-N,247.25,1.87,79.55,5.0,1.0,4.0,1.0,
CHEMBL1472108,,,Small molecule,MOL,Cc1sc2ncnc(Sc3nnnn3-c3ccccc3)c2c1C,DKWPGMHILKKDMR-UHFFFAOYSA-N,340.44,3.44,69.38,8.0,0.0,3.0,4.0,
CHEMBL1472126,,,Small molecule,MOL,COc1ccc(N(C(=O)CCl)C(C(=O)NCCc2ccccc2)c2cccs2)cc1,STXBWZSVEOQYLQ-UHFFFAOYSA-N,442.97,4.43,58.64,4.0,1.0,9.0,3.0,
CHEMBL1472154,,,Small molecule,MOL,CC1=NN(c2ccccc2)C(=O)/C1=C\c1c[nH]nc1-c1ccccc1,UOXSHILWWIJSKZ-PDGQHHTCSA-N,328.38,3.88,61.35,3.0,1.0,3.0,3.0,
CHEMBL1481657,,,Small molecule,MOL,CCCCCc1cc(=O)oc2c(C(CCN3CCCC(C)C3)c3ccc4c(c3)OCO4)c(OC)cc(OC)c12,PODNXBRQMKYVOI-UHFFFAOYSA-N,535.68,6.53,70.37,7.0,0.0,11.0,3.0,
CHEMBL1492541,,,Small molecule,MOL,CN1c2ccccc2C(C)(C)C12C=Nc1c(cc(N3CCOCC3)c3ccccc13)O2,VBGVMVBBKHCPIQ-UHFFFAOYSA-N,413.52,4.90,37.30,5.0,0.0,1.0,3.0,
CHEMBL1493700,,,Small molecule,MOL,Cc1nn(-c2cccc(Cl)c2)c2c1C(c1ccncc1)C(C#N)=C(N)O2,VCXICXJQDSXXEZ-UHFFFAOYSA-N,363.81,3.45,89.75,6.0,1.0,2.0,3.0,
CHEMBL1503292,,,Small molecule,MOL,O=S(=O)(c1ccccc1)c1ncc(C(F)(F)F)cc1Cl,HRARYFALNCQJJX-UHFFFAOYSA-N,321.71,3.59,47.03,3.0,0.0,2.0,2.0,
CHEMBL1503634,,,Small molecule,MOL,COc1ccc(O)c(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)c1,YOLPQFZZXISODE-UHFFFAOYSA-N,330.34,2.06,127.28,6.0,5.0,4.0,3.0,
CHEMBL1503656,,,Small molecule,MOL,CSc1ccc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc1,BQFAVSLKHODAPH-UHFFFAOYSA-N,330.41,3.06,97.82,5.0,4.0,4.0,3.0,
CHEMBL1512368,,,Small molecule,MOL,Cc1ccc(S(=O)(=O)N(C)c2ccc(OC(=O)CSCc3c(C)noc3C)cc2)cc1C,ZXBBVOLCYZEYHL-UHFFFAOYSA-N,474.60,4.57,89.71,7.0,0.0,8.0,3.0,
CHEMBL1520989,,,Small molecule,MOL,Cc1ccc(S(=O)(=O)NC(C)C(=O)Oc2ccc3c(=O)c(-c4ccc([N+](=O)[O-])cc4)c(C)oc3c2)cc1,RUUZMHMJARZKEC-UHFFFAOYSA-N,522.54,4.26,145.82,8.0,1.0,7.0,4.0,
CHEMBL1521024,,,Small molecule,MOL,Cc1n[nH]c(O)c1C(c1cc2c(cc1Br)OCO2)c1c(C)n[nH]c1O,VAQGYTNSZGEDEN-UHFFFAOYSA-N,407.22,2.83,116.28,6.0,4.0,3.0,3.0,
CHEMBL1526076,,,Small molecule,MOL,Cc1ccc(NC(=O)CSc2ncc(-c3ccccc3)n2C(=O)c2ccccc2)cc1,SPNJBMMPFIYEGF-UHFFFAOYSA-N,427.53,5.28,63.99,5.0,1.0,6.0,4.0,
CHEMBL1531579,,,Small molecule,MOL,NNc1nnc(S)n1N,RDIMQHBOTMWMJA-UHFFFAOYSA-N,146.18,-1.43,94.78,7.0,4.0,1.0,1.0,
CHEMBL1533236,,,Small molecule,MOL,COCc1n[nH]c2c1C(c1ccsc1)C(C#N)=C(N)O2,WRZBCZFMZNBEBF-UHFFFAOYSA-N,288.33,1.84,96.95,6.0,2.0,3.0,2.0,
CHEMBL1533248,,,Small molecule,MOL,CC(C)(C)c1c(Cl)c(O)c(-c2ccccc2)c(=O)n1-c1ccccc1,SXCMNKSDLJDFTB-UHFFFAOYSA-N,353.85,5.16,42.23,3.0,1.0,2.0,3.0,
CHEMBL1533269,,,Small molecule,MOL,O=C(CN1C(=O)S/C(=C\C=C\c2ccccc2)C1=O)Nc1ccccc1C(=O)O,QPFSDFFLHBYCIJ-NPDFUIFFSA-N,408.44,3.62,103.78,5.0,2.0,6.0,2.0,
CHEMBL1542492,,,Small molecule,MOL,CC(NC(=O)/C(C#N)=C/c1ccc([N+](=O)[O-])o1)c1ccccc1,YKAPTNHJXOXVNR-UKTHLTGXSA-N,311.30,2.97,109.17,5.0,1.0,5.0,2.0,
CHEMBL1542511,,,Small molecule,MOL,CC1=NN(c2ccccc2)C(=O)/C1=C/c1cccs1,VUYSZSSFJKWRMX-GXDHUFHOSA-N,268.34,3.55,32.67,3.0,0.0,2.0,2.0,
CHEMBL1542693,,,Small molecule,MOL,CN(C1=C(NC(=O)c2ccccc2)C(=O)c2ccccc2C1=O)C1CCS(=O)(=O)C1,AHASJIZTACJIMC-UHFFFAOYSA-N,424.48,1.83,100.62,6.0,1.0,4.0,2.0,
CHEMBL1550423,,,Small molecule,MOL,COc1cc(C=C(c2nc3ccccc3s2)c2nc3ccccc3s2)ccc1O,OPOUVDRIHWIEOD-UHFFFAOYSA-N,416.53,6.21,55.24,6.0,1.0,4.0,5.0,
CHEMBL1550425,,,Small molecule,MOL,COc1ccc(-n2c(=O)c3ccccc3c3ccccc3c2=O)cc1,ZFELDPJRRGWNGH-UHFFFAOYSA-N,329.36,3.51,48.30,4.0,0.0,2.0,4.0,
CHEMBL1550490,,,Small molecule,MOL,CCOC(=O)c1ccc(NC2=CC(=O)C(=O)c3ccccc32)cc1,BJFPPILHFRTJTD-UHFFFAOYSA-N,321.33,3.08,72.47,5.0,1.0,4.0,2.0,
CHEMBL1567632,,,Small molecule,MOL,Cc1nn(Cc2ccccc2)c2c1C(c1ccccc1)C(C#N)=C(N)O2,XWZAWPMDEPDHEE-UHFFFAOYSA-N,342.40,3.46,76.86,5.0,1.0,3.0,3.0,
CHEMBL1571875,,,Small molecule,MOL,O=C(CCl)Nc1ccc(N=Nc2ccccc2)cc1,GZRJHDPHDCWZFA-UHFFFAOYSA-N,273.72,4.28,53.82,3.0,1.0,4.0,2.0,
CHEMBL1572001,,,Small molecule,MOL,CC(C)(C)c1ccc(-n2nc(C#N)c(Cl)cc2=O)cc1,XAEREYCGWABQBL-UHFFFAOYSA-N,287.75,3.06,58.68,4.0,0.0,1.0,2.0,
CHEMBL1572077,,,Small molecule,MOL,Cc1n[nH]c(O)c1C(c1ccc(N(C)C)c(Br)c1)c1c(C)n[nH]c1O,UVAZRDCYPSZTOU-UHFFFAOYSA-N,406.28,3.17,101.06,5.0,4.0,4.0,3.0,
CHEMBL1581228,,,Small molecule,MOL,CCOc1ccccc1Oc1coc2cc(OC(=O)c3ccco3)ccc2c1=O,ARKIIDCJFUSGPQ-UHFFFAOYSA-N,392.36,4.80,88.11,7.0,0.0,6.0,4.0,
CHEMBL1581233,,,Small molecule,MOL,Cc1cccc(CN2CCN(C(=O)CCl)CC2)c1,DVBSBXBABNLMIS-UHFFFAOYSA-N,266.77,1.88,23.55,2.0,0.0,3.0,1.0,
CHEMBL1581425,,,Small molecule,MOL,COCCN(C(=O)CCl)C(C(=O)NC1CCCCC1)c1ccccc1C,MPBXAXBXUGIWFE-UHFFFAOYSA-N,380.92,3.20,58.64,3.0,1.0,8.0,1.0,
CHEMBL1589309,,,Small molecule,MOL,O=C(CSc1nnc(-c2ccccc2Cl)o1)Oc1ccc(Br)cc1,QLVWARVBMFSEGA-UHFFFAOYSA-N,425.69,4.85,65.22,6.0,0.0,5.0,3.0,
CHEMBL1589425,,,Small molecule,MOL,CCCCCCCCCC[N+](C)(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21.[Br-],DXLHUHJKEMQMBH-PNNXLEGYSA-M,537.05,8.84,0.00,1.0,0.0,12.0,2.0,
CHEMBL1589428,,,Small molecule,MOL,CCOC(=O)C(C)Sc1ncnc2c1nnn2-c1ccc(F)cc1,FPGQWIXTMXHRBN-UHFFFAOYSA-N,347.38,2.39,82.79,8.0,0.0,5.0,3.0,
CHEMBL1598857,,,Small molecule,MOL,COC(=O)c1c(NC(=O)/C=C/C(=O)O)sc(C)c1-c1ccc(C)cc1,IKEKWPIRACBISY-CMDGGOBGSA-N,359.40,3.40,92.70,5.0,2.0,5.0,2.0,
CHEMBL1603753,,,Small molecule,MOL,COC(=O)CCSc1cc(NCCOC(C)=O)c([N+](=O)[O-])c2nonc12,WFQYEDCHGDDBGM-UHFFFAOYSA-N,384.37,1.76,146.69,11.0,1.0,9.0,2.0,
CHEMBL1735239,,,Small molecule,MOL,COc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc(Br)c1OC,WVLQHCJHLDDHAS-UHFFFAOYSA-N,423.27,3.12,116.28,6.0,4.0,5.0,3.0,
CHEMBL1735634,,,Small molecule,MOL,COc1ccc(CC(=O)O/N=C(\N)Cc2cccc3ccccc23)cc1OC,WKDKCJJUBCSRIT-UHFFFAOYSA-N,378.43,3.46,83.14,5.0,1.0,7.0,3.0,
CHEMBL1794153,,,Small molecule,MOL,O=C(Oc1ccc(N2C(=O)C3C4CCC(C4)C3C2=O)cc1)c1ccco1,FMEXBJPEWQLOKG-UHFFFAOYSA-N,351.36,3.03,76.82,5.0,0.0,3.0,2.0,
