molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,bioactivity_numeric
CHEMBL1698050,CCSc1c([N+](=O)[O-])c(=O)n(-c2ccccc2)c2ccccc12,154600.0,inactive,0
CHEMBL1503995,Cc1nc([N+](=O)[O-])c(Sc2nc3ccccc3[nH]2)n1Cc1ccccc1,12300.0,inactive,0
CHEMBL1454910,O=[N+]([O-])c1ccc(O)c2ncccc12,14400.0,inactive,0
CHEMBL1555488,COc1ccc(-n2c(C)cc(C(=O)CCl)c2C)cc1,19000.0,inactive,0
CHEMBL1418852,CCOc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)ccc1OC(=O)c1cccc([N+](=O)[O-])c1,205.0,active,1
CHEMBL3145178,Cc1cc(=O)n(-c2ccc(O)cc2)[nH]1,774.0,active,1
CHEMBL1418884,O=[N+]([O-])c1ccc(N2CCCC(C(F)(F)F)C2)c2ccncc12,10800.0,inactive,0
CHEMBL1364004,COC(=O)CC1=NN(c2ccc(OC)cc2)C(=O)C1,13100.0,inactive,0
CHEMBL3193655,CC(/C=N/NC(=O)Cc1cc(O)[nH]n1)=C\c1ccccc1,935.0,active,1
CHEMBL1717678,Oc1c2c(nn1-c1ccccc1)CCSC2,13700.0,inactive,0
CHEMBL527336,Cc1ccc(NC2=C(N3CCCCC3)C(=O)c3ccccc3C2=O)cc1,619.0,active,1
CHEMBL3145102,COC(=O)Cc1cc(=O)n(-c2ccccc2)[nH]1,14000.0,inactive,0
CHEMBL1346302,O=C(COC(=O)c1ccc2c(c1Cl)C(=O)c1ccccc1C2=O)NC1CC1,12900.0,inactive,0
CHEMBL1489430,CCCc1n[nH]c(O)c1C(c1cccc(Cl)c1)C(C#N)C#N,755.0,active,1
CHEMBL1454882,Cc1ccc(NC(=O)c2cnc(SCC(=O)NCC3CCCO3)n(C)c2=O)cc1,30900.0,inactive,0
CHEMBL1411089,Cc1cc(C)c(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)cc1C,10200.0,inactive,0
CHEMBL1497295,O=C(CCl)N(c1ccc(Cl)cc1)c1c[nH]c2ccccc12,195.0,active,1
CHEMBL3195749,COC(=O)c1ccccc1NC1=C/C(=N\S(=O)(=O)c2cccs2)c2ccccc2C1=O,20.8,active,1
CHEMBL333767,O=C(NNC(=O)c1ccc([N+](=O)[O-])o1)c1ccccc1,13500.0,inactive,0
CHEMBL1386277,CCOC(=O)CSc1n[nH]c(NC(=O)c2cccc(C(F)(F)F)c2)n1,12400.0,inactive,0
CHEMBL1454770,Cn1cnc([N+](=O)[O-])c1Oc1cccc2ccccc12,13200.0,inactive,0
CHEMBL3196451,Cc1ccc(NC2=C/C(=N/S(=O)(=O)c3cccs3)c3ccccc3C2=O)cc1,119.0,active,1
CHEMBL1533463,CS/C(=C\[N+](=O)[O-])Nc1ccc(Cl)cc1,12700.0,inactive,0
CHEMBL1560396,Cc1onc(-c2ccccc2)c1-c1nc2cc(Cl)ccc2c(=O)o1,158500.0,inactive,0
CHEMBL1486359,COC1=C(c2ccccc2)C(=O)c2ccccc2C1=O,13300.0,inactive,0
CHEMBL1318998,Cc1ccc(S(=O)(=O)N(C(=O)c2ccncc2)c2ccc(OC(=O)c3ccncc3)c3ccccc23)cc1,315.0,active,1
CHEMBL1594394,COCc1n[nH]c2c1C(c1cccc(OC)c1)C(C#N)=C(N)O2,27000.0,inactive,0
CHEMBL36536,COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3,614.0,active,1
CHEMBL1969046,Cc1ccc(S(=O)(=O)/N=C2\C=C(Nc3cccc(C(=O)O)c3)C(=O)c3ccccc32)c(C)c1,15000.0,inactive,0
CHEMBL1497427,CCC(c1nnnn1Cc1ccco1)N(Cc1cc2cc(OC)ccc2nc1O)C1CCCCC1,40200.0,inactive,0
CHEMBL207931,COc1ccc(C(O)c2nccc3cc(OC)c(OC)cc23)cc1OC,10700.0,inactive,0
CHEMBL1582076,COc1cc(C2C(C#N)=C(N)Oc3c2c(-c2ccccc2)nn3-c2ccccc2)cc(OC)c1OC,27900.0,inactive,0
CHEMBL1543295,O=S(=O)(c1ccc(Cl)c(Cl)c1)c1snnc1-c1ccccc1,504.0,active,1
CHEMBL577764,N#Cc1nc(N)nc(N(c2ccccc2)c2ccccc2)n1,66600.0,inactive,0
CHEMBL1376540,Cc1ccc(C(=O)NC2(O)C(=O)c3ccccc3C2=O)cc1C,15900.0,inactive,0
CHEMBL3144940,CCCCCCCCc1c(O)nc(-n2[nH]c(C)c(CCO)c2=O)[nH]c1=O,96800.0,inactive,0
CHEMBL1339644,Cc1cccc(Sc2c(C=O)c3ccccc3n2C)c1,29600.0,inactive,0
CHEMBL3185958,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,12100.0,inactive,0
CHEMBL1555752,CCN(CC)C(=O)c1ccc2c(c1)C1C(Cl)C(Sc3ccccc3[N+](=O)[O-])CC1C(C(=O)O)N2,17000.0,inactive,0
CHEMBL1359240,O=c1c2ccccc2nc2n1CCS2(=O)=O,12900.0,inactive,0
CHEMBL1575531,Cc1ccccc1-n1ncc2c([N+](=O)[O-])cc([N+](=O)[O-])cc21,911.0,active,1
CHEMBL1560640,COc1ccc(/C=C2/C(=O)N(c3cccc(F)c3)N=C2C)c(OC)c1,44600.0,inactive,0
CHEMBL1464853,O=C1C(Cl)=C(N2CCCCC2)C(=O)C(Cl)=C1c1cnc(N2CCCCC2)s1,766.0,active,1
CHEMBL2355051,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,12400.0,inactive,0
CHEMBL1376516,CCOC(=O)C1=C(c2ccccc2)N=C(N)NC1c1ccc(OCc2ccc(Cl)cc2)c(OC)c1,14300.0,inactive,0
CHEMBL1364176,COc1ccc(-c2cc(O)[nH]n2)cc1,444.0,active,1
CHEMBL1442944,FC(F)(F)c1nnc(-c2ccccc2)nc1Oc1ccc(Cl)cc1Cl,481.0,active,1
CHEMBL1364083,Cc1noc(C)c1CSCC(=O)Oc1ccc(N(C)S(=O)(=O)c2ccc(Cl)cc2)cc1,13800.0,inactive,0
CHEMBL1419252,Cc1cnnn1-c1ccc(C(=O)CCl)cc1,11300.0,inactive,0
CHEMBL1528923,Cc1onc(-c2ccccc2)c1C(=O)n1nnc2ccccc21,13000.0,inactive,0
CHEMBL1482281,O=C(Oc1ccc(Br)cc1C(=S)N1CCOCC1)c1cccc([N+](=O)[O-])c1,23100.0,inactive,0
CHEMBL3145111,O=c1cc(-c2ccccc2)[nH]n1-c1ccc([N+](=O)[O-])cc1,11000.0,inactive,0
CHEMBL1521758,Cc1ccc(C)c(S(=O)(=O)Nc2ccc(O)c3ccccc23)c1,74.5,active,1
CHEMBL1404013,CS(=O)(=O)C1=NN2C(=N)/C(=C\c3ccc(OC(=O)c4ccco4)cc3)C(=O)N=C2S1,16800.0,inactive,0
CHEMBL599924,CCn1nc(/C=C/c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2,36.8,active,1
CHEMBL1416184,O=[N+]([O-])c1c(NCCO)cc(Sc2nc3ccccc3s2)c2nonc12,722.0,active,1
CHEMBL1718805,COc1ccc(OC)c(NC(=O)Nc2ccc(O)c3ccccc23)c1,152.0,active,1
CHEMBL1299841,COc1ccc(CN2CCNC(=O)C2CC(=O)N(C)Cc2ccncn2)c(OC)c1,24700.0,inactive,0
CHEMBL1339869,CCCc1n[nH]c2c1C(c1ccc(OC(=O)N3CCOCC3)cc1)C(C#N)=C(N)O2,11800.0,inactive,0
CHEMBL1582246,COc1ccc2c(c1)C(=C(C#N)C#N)C(=O)N2CCc1ccccc1,21200.0,inactive,0
CHEMBL1516834,Cc1ccccc1Nc1cc2ccccc2c(O)n1,616.0,active,1
CHEMBL1516914,Cc1ccc(-c2nnc(Sc3nc4ccccc4o3)c3ccccc23)cc1,396.0,active,1
CHEMBL1403980,COc1cc2c(cc1OC)C(c1cc(Br)ccc1F)N(C(=O)CCl)CC2,800.0,active,1
