molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1393568,CSc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3F)ncc2Cl)s1,3500.0,intermediate
CHEMBL1794153,O=C(Oc1ccc(N2C(=O)C3C4CCC(C4)C3C2=O)cc1)c1ccco1,13000.0,inactive
CHEMBL1472154,CC1=NN(c2ccccc2)C(=O)/C1=C\c1c[nH]nc1-c1ccccc1,2540.0,intermediate
CHEMBL1305832,O=C1CC/[N+](=C\c2ccccc2Cl)[N-]1,4020.0,intermediate
CHEMBL1472126,COc1ccc(N(C(=O)CCl)C(C(=O)NCCc2ccccc2)c2cccs2)cc1,327.0,active
CHEMBL1345808,Cc1ccc(N2C(=O)C(Cl)=C(N3CCN(C)CC3)C2=O)c(C)c1,2350.0,intermediate
CHEMBL1433014,N#CC1=C(N)C(C#N)(C#N)[C@H](c2c(F)cccc2F)[C@H]2CC3(CC=C12)OCCO3,22200.0,inactive
CHEMBL604321,CCCNC1=C(N(C(C)=O)c2cccc(F)c2)C(=O)c2ccccc2C1=O,2060.0,intermediate
CHEMBL586029,CCOC(=O)C1CCN(C(=O)c2c(C)oc3c2C(=O)c2ccccc2C3=O)CC1,645.0,active
CHEMBL1598857,COC(=O)c1c(NC(=O)/C=C/C(=O)O)sc(C)c1-c1ccc(C)cc1,11100.0,inactive
CHEMBL1432973,CCCCCn1c(N)c(C(=O)NCc2cccs2)c2nc3ccccc3nc21,1240.0,intermediate
CHEMBL3145026,Cc1cc(=O)n(-c2ccc(C(=O)O)cc2)[nH]1,1920.0,intermediate
CHEMBL1415513,Cc1n[nH]c(O)c1C(c1ccc(-c2ccc(F)cc2)o1)c1c(C)n[nH]c1O,297.0,active
CHEMBL3194842,CN1C(=O)/C(=N\OC(=O)c2cccc3ccccc23)c2ccccc21,15000.0,inactive
CHEMBL1353816,Cc1nn(-c2ccccc2)c2c1C1(C(=O)N(C(C)C)c3ccccc31)C(C#N)=C(N)O2,2880.0,intermediate
CHEMBL1589425,CCCCCCCCCC[N+](C)(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21.[Br-],5800.0,intermediate
CHEMBL1472108,Cc1sc2ncnc(Sc3nnnn3-c3ccccc3)c2c1C,3180.0,intermediate
CHEMBL1374665,Cc1cccc(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)c1,1900.0,intermediate
CHEMBL590691,CC(=O)N(C1=C(N2CCOCC2)C(=O)c2ccccc2C1=O)c1ccc(C(=O)O)cc1,1010.0,intermediate
CHEMBL1305800,Cc1ccc(-c2[nH]nc3c2C(c2ccc(OC(=O)N4CCOCC4)cc2)C(C#N)=C(N)O3)cc1,1180.0,intermediate
CHEMBL1336010,CC(C)(C)c1[nH]nc2c1C(Cc1ccccc1)C(C#N)=C(N)O2,2310.0,intermediate
CHEMBL1447513,CC(=O)NC1=C(Nc2ccc(N(C)C)cc2)C(=O)c2ccccc2C1=O,46600.0,inactive
CHEMBL1408577,Cc1ccc(C(=O)c2coc3cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c23)cc1,9460.0,intermediate
CHEMBL1313748,O=C1CC/[N+](=C\c2ccccc2)[N-]1,4580.0,intermediate
