activity_id,assay_chembl_id,assay_description,canonical_smiles,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,standard_value_nM,pEC50,activity_label,normalized_smiles
6776730,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COc1ccc(OC)c(-c2[nH]nc3c2C(c2ccco2)C(C#N)=C(N)O3)c1,CHEMBL1201862,CHEMBL1463261,5.49,=,=,EC50,nM,3220.0,CHEMBL1741171,EC50,uM,3.22,3220.0,5.492144128304169,weak_or_moderate,COc1ccc(OC)c(-c2[nH]nc3c2C(c2ccco2)C(C#N)=C(N)O3)c1
6776731,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CCCCCCCCCCOC[n+]1cn(Cc2ccccc2)c2ccccc21.[Cl-],CHEMBL1201862,CHEMBL1437516,4.87,=,=,EC50,nM,13500.0,CHEMBL1741171,EC50,uM,13.5,13500.0,4.8696662315049934,weak_or_moderate,CCCCCCCCCCOC[n+]1cn(Cc2ccccc2)c2ccccc21.[Cl-]
6776732,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1[nH]n(C)c(=O)c1C(=O)c1c(-c2c(Cl)cccc2Cl)noc1C,CHEMBL1201862,CHEMBL3145133,5.77,=,=,EC50,nM,1710.0,CHEMBL1741171,EC50,uM,1.71,1710.0,5.767003889607846,weak_or_moderate,Cc1[nH]n(C)c(=O)c1C(=O)c1c(-c2c(Cl)cccc2Cl)noc1C
6776733,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc([N+](=O)[O-])c1O,CHEMBL1201862,CHEMBL1384670,6.61,=,=,EC50,nM,248.0,CHEMBL1741171,EC50,uM,0.248,248.0,6.605548319173783,potent,COc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc([N+](=O)[O-])c1O
6776734,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1n[nH]c2c1C(c1c[nH]nc1-c1ccc(F)cc1)C(C#N)=C(N)O2,CHEMBL1201862,CHEMBL1384715,5.41,=,=,EC50,nM,3880.0,CHEMBL1741171,EC50,uM,3.88,3880.0,5.411168274405792,weak_or_moderate,Cc1n[nH]c2c1C(c1c[nH]nc1-c1ccc(F)cc1)C(C#N)=C(N)O2
6776735,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",N#Cc1ncc(Cc2ccccc2)nc1C#N,CHEMBL1201862,CHEMBL1493256,5.77,=,=,EC50,nM,1710.0,CHEMBL1741171,EC50,uM,1.71,1710.0,5.767003889607846,weak_or_moderate,N#Cc1ncc(Cc2ccccc2)nc1C#N
6776737,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CCN(CC)C(=O)CSc1nnc2nnc3cc(OC)ccc3n12,CHEMBL1201862,CHEMBL1392176,,=,=,EC50,nM,127800.0,CHEMBL1741171,EC50,uM,127.8,127800.0,3.893469146177619,weak_or_moderate,CCN(CC)C(=O)CSc1nnc2nnc3cc(OC)ccc3n12
6776738,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",O=C(NC(=C(Cl)Cl)S(=O)(=O)c1ccc(Cl)cc1)c1ccccc1,CHEMBL1201862,CHEMBL1330963,5.82,=,=,EC50,nM,1530.0,CHEMBL1741171,EC50,uM,1.53,1530.0,5.815308569182401,weak_or_moderate,O=C(NC(=C(Cl)Cl)S(=O)(=O)c1ccc(Cl)cc1)c1ccccc1
6776739,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CC(C)(C)c1cc(C(=O)CCN2CCOCC2)cc(C(C)(C)C)c1O,CHEMBL1201862,CHEMBL1392225,4.78,=,=,EC50,nM,16800.0,CHEMBL1741171,EC50,uM,16.8,16800.0,4.774690718274137,weak_or_moderate,CC(C)(C)c1cc(C(=O)CCN2CCOCC2)cc(C(C)(C)C)c1O
6776740,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",C#CC(=O)N(c1cc(OC)ccc1OC)C(C(=O)NC1CCCC1)c1cccs1,CHEMBL1201862,CHEMBL1610049,5.61,=,=,EC50,nM,2460.0,CHEMBL1741171,EC50,uM,2.46,2460.0,5.609064892896621,weak_or_moderate,C#CC(=O)N(c1cc(OC)ccc1OC)C(C(=O)NC1CCCC1)c1cccs1
6776741,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COc1cc(Br)c(C2C(C#N)=C(N)Oc3[nH]nc(-c4cccnc4)c32)cc1OC,CHEMBL1201862,CHEMBL1368065,5.07,=,=,EC50,nM,8600.0,CHEMBL1741171,EC50,uM,8.6,8600.0,5.065501548756432,weak_or_moderate,COc1cc(Br)c(C2C(C#N)=C(N)Oc3[nH]nc(-c4cccnc4)c32)cc1OC
6776743,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1cc(C(c2ccc(O)cc2)c2cc(C)c(O)cc2C)c(C)cc1O,CHEMBL1201862,CHEMBL1392219,,=,=,EC50,nM,100100.0,CHEMBL1741171,EC50,uM,100.1,100100.0,3.9995659225206817,weak_or_moderate,Cc1cc(C(c2ccc(O)cc2)c2cc(C)c(O)cc2C)c(C)cc1O
6776744,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CCC(=O)OCCNc1cc(Sc2nc3ccccc3s2)c2nonc2c1[N+](=O)[O-],CHEMBL1201862,CHEMBL1610025,6.24,=,=,EC50,nM,572.0,CHEMBL1741171,EC50,uM,0.572,572.0,6.242603971206975,potent,CCC(=O)OCCNc1cc(Sc2nc3ccccc3s2)c2nonc2c1[N+](=O)[O-]
