molecule_chembl_id,n_records,median_ec50_nM,min_ec50_nM,max_ec50_nM,median_pEC50,activity_label
CHEMBL1381495,1,558.0,558.0,558.0,6.253365801062421,potent
CHEMBL1429966,1,558.0,558.0,558.0,6.253365801062421,potent
CHEMBL1528243,1,570.0,570.0,570.0,6.2441251443275085,potent
CHEMBL1320274,1,571.0,571.0,571.0,6.243363891754152,potent
CHEMBL1610025,1,572.0,572.0,572.0,6.242603971206975,potent
CHEMBL1580910,1,578.0,578.0,578.0,6.2380721615794705,potent
CHEMBL1559156,1,581.0,581.0,581.0,6.235823867609669,potent
CHEMBL1366838,1,582.0,582.0,582.0,6.235077015350111,potent
CHEMBL1303953,1,587.0,587.0,587.0,6.231361898752386,potent
CHEMBL1597039,1,602.0,602.0,602.0,6.220403508742176,potent
CHEMBL1495539,1,606.0,606.0,606.0,6.217527375833714,potent
CHEMBL1507448,1,606.0,606.0,606.0,6.217527375833714,potent
CHEMBL36536,1,614.0,614.0,614.0,6.211831628858832,potent
CHEMBL1516834,1,616.0,616.0,616.0,6.210419287835574,potent
CHEMBL1995112,1,618.0,618.0,618.0,6.209011524911184,potent
CHEMBL1403148,1,619.0,619.0,619.0,6.2083093509798815,potent
CHEMBL527336,1,619.0,619.0,619.0,6.2083093509798815,potent
CHEMBL1734451,1,642.0,642.0,642.0,6.192464971931146,potent
CHEMBL306946,1,643.0,643.0,643.0,6.191789027075778,potent
CHEMBL3191627,1,643.0,643.0,643.0,6.191789027075778,potent
CHEMBL586029,1,645.0,645.0,645.0,6.1904402853647325,potent
CHEMBL3189714,1,654.0,654.0,654.0,6.184422251675732,potent
CHEMBL3145001,1,656.0,656.0,656.0,6.1830961606243395,potent
CHEMBL1352586,1,657.0,657.0,657.0,6.18243463044022,potent
CHEMBL1588173,1,660.0,660.0,660.0,6.180456064458131,potent
CHEMBL1491865,1,664.0,664.0,664.0,6.1778319206319825,potent
CHEMBL175434,1,667.0,667.0,667.0,6.175874166083451,potent
CHEMBL1543839,1,669.0,669.0,669.0,6.174573882232177,potent
CHEMBL584626,1,669.0,669.0,669.0,6.174573882232177,potent
CHEMBL1346860,1,670.0,670.0,670.0,6.173925197299173,potent
CHEMBL1543601,1,672.0,672.0,672.0,6.172630726946174,potent
CHEMBL1524399,1,674.0,674.0,674.0,6.17134010346468,potent
CHEMBL1311185,1,682.0,682.0,682.0,6.166215625343521,potent
CHEMBL1305307,1,686.0,686.0,686.0,6.163675884293248,potent
CHEMBL3145089,1,688.0,688.0,688.0,6.162411561764489,potent
CHEMBL1498329,1,689.0,689.0,689.0,6.161780778092375,potent
CHEMBL3196831,1,694.0,694.0,694.0,6.158640529545146,potent
CHEMBL1564294,1,695.0,695.0,695.0,6.158015195409886,potent
CHEMBL1464042,1,701.0,701.0,701.0,6.154281982033341,potent
CHEMBL1606382,1,703.0,703.0,703.0,6.153044674980176,potent
CHEMBL3187596,1,707.0,707.0,707.0,6.1505805862031,potent
CHEMBL60718,1,712.0,712.0,712.0,6.147520006363143,potent
CHEMBL1483627,1,716.0,716.0,716.0,6.145086977692145,potent
CHEMBL1604350,1,717.0,717.0,717.0,6.1444808443322,potent
CHEMBL1501597,1,718.0,718.0,718.0,6.1438755557577,potent
CHEMBL1547301,1,718.0,718.0,718.0,6.1438755557577,potent
CHEMBL1416184,1,722.0,722.0,722.0,6.141462802430361,potent
CHEMBL1699978,1,722.0,722.0,722.0,6.141462802430361,potent
CHEMBL1453212,1,723.0,723.0,723.0,6.140861702705469,potent
CHEMBL299853,1,723.0,723.0,723.0,6.140861702705469,potent
CHEMBL1540795,1,729.0,729.0,729.0,6.137272471682025,potent
CHEMBL1399371,1,731.0,731.0,731.0,6.13608262304214,potent
CHEMBL3191689,1,732.0,732.0,732.0,6.135488918941608,potent
CHEMBL1794266,1,740.0,740.0,740.0,6.130768280269024,potent
CHEMBL1577004,1,751.0,751.0,751.0,6.124360062995832,potent
CHEMBL1489430,1,755.0,755.0,755.0,6.1220530483708115,potent
CHEMBL1545034,1,757.0,757.0,757.0,6.120904120499928,potent
CHEMBL1307882,1,760.0,760.0,760.0,6.119186407719209,potent
CHEMBL1730123,1,762.0,762.0,762.0,6.118045028660399,potent
CHEMBL1464853,1,766.0,766.0,766.0,6.115771230367396,potent
CHEMBL3193639,1,768.0,768.0,768.0,6.114638779968487,potent
CHEMBL1558809,1,772.0,772.0,772.0,6.1123826996642645,potent
CHEMBL1390139,1,774.0,774.0,774.0,6.111259039317107,potent
CHEMBL1451931,1,774.0,774.0,774.0,6.111259039317107,potent
CHEMBL3145178,1,774.0,774.0,774.0,6.111259039317107,potent
CHEMBL600734,1,776.0,776.0,776.0,6.110138278741811,potent
CHEMBL1528844,1,781.0,781.0,781.0,6.1073489661227,potent
CHEMBL1507407,1,790.0,790.0,790.0,6.102372908709558,potent
CHEMBL179794,1,794.0,794.0,794.0,6.100179497572904,potent
CHEMBL3193835,1,795.0,795.0,795.0,6.0996328713435295,potent
CHEMBL1487851,1,797.0,797.0,797.0,6.098541678603888,potent
CHEMBL1403980,1,800.0,800.0,800.0,6.096910013008056,potent
CHEMBL1348813,1,804.0,804.0,804.0,6.094743951251549,potent
CHEMBL3145109,1,805.0,805.0,805.0,6.094204119632131,potent
CHEMBL1409956,1,810.0,810.0,810.0,6.0915149811213505,potent
CHEMBL3197333,1,810.0,810.0,810.0,6.0915149811213505,potent
CHEMBL1567635,1,813.0,813.0,813.0,6.089909454405932,potent
CHEMBL1486332,1,816.0,816.0,816.0,6.088309841246138,potent
CHEMBL3145155,1,829.0,829.0,829.0,6.081445469449727,potent
CHEMBL1567226,1,834.0,834.0,834.0,6.078833949362261,potent
CHEMBL1480387,1,845.0,845.0,845.0,6.073143291050307,potent
CHEMBL1325021,1,846.0,846.0,846.0,6.0726296369609765,potent
CHEMBL1309241,1,851.0,851.0,851.0,6.070070439915412,potent
CHEMBL566068,1,852.0,852.0,852.0,6.0695604052333,potent
CHEMBL3145176,1,856.0,856.0,856.0,6.0675262353228465,potent
CHEMBL1478578,1,861.0,861.0,861.0,6.064996848546345,potent
CHEMBL1349727,1,862.0,862.0,862.0,6.064492734175287,potent
CHEMBL1571123,1,880.0,880.0,880.0,6.055517327849831,potent
CHEMBL1338304,1,889.0,889.0,889.0,6.051098239029786,potent
CHEMBL3189511,1,891.0,891.0,891.0,6.050122295963125,potent
CHEMBL339561,1,891.0,891.0,891.0,6.050122295963125,potent
CHEMBL1389480,1,893.0,893.0,893.0,6.049148541111453,potent
CHEMBL3144884,1,897.0,897.0,897.0,6.047207556955907,potent
CHEMBL1575531,1,911.0,911.0,911.0,6.040481623027002,potent
CHEMBL3192106,1,912.0,912.0,912.0,6.0400051616715835,potent
CHEMBL1343392,1,924.0,924.0,924.0,6.0343280287798935,potent
CHEMBL1443601,1,925.0,925.0,925.0,6.0338582672609675,potent
CHEMBL1308404,1,926.0,926.0,926.0,6.033389013318065,potent
CHEMBL3144932,1,931.0,931.0,931.0,6.031050319018657,potent
CHEMBL1351542,1,932.0,932.0,932.0,6.030584087646019,potent
CHEMBL1440300,1,935.0,935.0,935.0,6.029188389127482,potent
CHEMBL3193655,1,935.0,935.0,935.0,6.029188389127482,potent
CHEMBL1572967,1,938.0,938.0,938.0,6.027797161620935,potent
CHEMBL1372574,1,939.0,939.0,939.0,6.027334407733889,potent
CHEMBL1341756,1,943.0,943.0,943.0,6.0254883072626715,potent
CHEMBL1421313,1,946.0,946.0,946.0,6.024108863598207,potent
CHEMBL1383632,1,950.0,950.0,950.0,6.022276394711152,potent
CHEMBL1445372,1,951.0,951.0,951.0,6.021819483062586,potent
CHEMBL478754,1,952.0,952.0,952.0,6.021363051615525,potent
CHEMBL1519374,1,955.0,955.0,955.0,6.019996628416253,potent
CHEMBL1498136,1,956.0,956.0,956.0,6.0195421077239,potent
CHEMBL1362565,1,965.0,965.0,965.0,6.015472686656207,potent
CHEMBL1447306,1,978.0,978.0,978.0,6.009661145212398,potent
CHEMBL1520852,1,985.0,985.0,985.0,6.006563769502389,potent
CHEMBL1572001,1,989.0,989.0,989.0,6.004803708402821,potent
CHEMBL1362714,1,998.0,998.0,998.0,6.000869458712629,potent
CHEMBL1373577,1,999.0,999.0,999.0,6.000434511774017,potent
CHEMBL1416089,1,1000.0,1000.0,1000.0,6.0,potent
CHEMBL1313412,1,1010.0,1010.0,1010.0,5.995678626217357,weak_or_moderate
CHEMBL1529115,1,1010.0,1010.0,1010.0,5.995678626217357,weak_or_moderate
CHEMBL1573427,1,1010.0,1010.0,1010.0,5.995678626217357,weak_or_moderate
CHEMBL3145223,1,1010.0,1010.0,1010.0,5.995678626217357,weak_or_moderate
CHEMBL590691,1,1010.0,1010.0,1010.0,5.995678626217357,weak_or_moderate
CHEMBL1380801,1,1020.0,1020.0,1020.0,5.991399828238082,weak_or_moderate
CHEMBL1472280,1,1020.0,1020.0,1020.0,5.991399828238082,weak_or_moderate
CHEMBL1526410,1,1020.0,1020.0,1020.0,5.991399828238082,weak_or_moderate
CHEMBL3144926,1,1020.0,1020.0,1020.0,5.991399828238082,weak_or_moderate
CHEMBL1423623,1,1030.0,1030.0,1030.0,5.987162775294828,weak_or_moderate
CHEMBL1478235,1,1030.0,1030.0,1030.0,5.987162775294828,weak_or_moderate
CHEMBL1557820,1,1030.0,1030.0,1030.0,5.987162775294828,weak_or_moderate
CHEMBL1526966,1,1050.0,1050.0,1050.0,5.978810700930062,weak_or_moderate
CHEMBL3145082,1,1050.0,1050.0,1050.0,5.978810700930062,weak_or_moderate
CHEMBL1330013,1,1060.0,1060.0,1060.0,5.97469413473523,weak_or_moderate
CHEMBL1462675,1,1060.0,1060.0,1060.0,5.97469413473523,weak_or_moderate
CHEMBL1445192,1,1070.0,1070.0,1070.0,5.97061622231479,weak_or_moderate
CHEMBL1490942,1,1070.0,1070.0,1070.0,5.97061622231479,weak_or_moderate
CHEMBL1548898,1,1070.0,1070.0,1070.0,5.97061622231479,weak_or_moderate
CHEMBL1612699,1,1070.0,1070.0,1070.0,5.97061622231479,weak_or_moderate
CHEMBL1439124,1,1080.0,1080.0,1080.0,5.96657624451305,weak_or_moderate
CHEMBL1562304,1,1080.0,1080.0,1080.0,5.96657624451305,weak_or_moderate
CHEMBL576208,1,1090.0,1090.0,1090.0,5.962573502059376,weak_or_moderate
CHEMBL1367316,1,1100.0,1100.0,1100.0,5.958607314841775,weak_or_moderate
CHEMBL1611931,1,1100.0,1100.0,1100.0,5.958607314841775,weak_or_moderate
CHEMBL1332119,1,1110.0,1110.0,1110.0,5.954677021213342,weak_or_moderate
CHEMBL1407961,1,1110.0,1110.0,1110.0,5.954677021213342,weak_or_moderate
CHEMBL1438890,1,1120.0,1120.0,1120.0,5.950781977329818,weak_or_moderate
CHEMBL127757,1,1130.0,1130.0,1130.0,5.94692155651658,weak_or_moderate
CHEMBL1301700,1,1130.0,1130.0,1130.0,5.94692155651658,weak_or_moderate
CHEMBL1556583,1,1130.0,1130.0,1130.0,5.94692155651658,weak_or_moderate
CHEMBL1710140,1,1150.0,1150.0,1150.0,5.939302159646388,weak_or_moderate
CHEMBL1365118,1,1160.0,1160.0,1160.0,5.935542010773082,weak_or_moderate
CHEMBL1504305,1,1160.0,1160.0,1160.0,5.935542010773082,weak_or_moderate
CHEMBL1733991,1,1160.0,1160.0,1160.0,5.935542010773082,weak_or_moderate
CHEMBL1416543,1,1170.0,1170.0,1170.0,5.931814138253838,weak_or_moderate
CHEMBL1420116,1,1170.0,1170.0,1170.0,5.931814138253838,weak_or_moderate
CHEMBL1472327,1,1170.0,1170.0,1170.0,5.931814138253838,weak_or_moderate
CHEMBL1503634,1,1170.0,1170.0,1170.0,5.931814138253838,weak_or_moderate
CHEMBL1526067,1,1170.0,1170.0,1170.0,5.931814138253838,weak_or_moderate
CHEMBL43128,1,1170.0,1170.0,1170.0,5.931814138253838,weak_or_moderate
CHEMBL1305800,1,1180.0,1180.0,1180.0,5.928117992693874,weak_or_moderate
CHEMBL1464383,1,1180.0,1180.0,1180.0,5.928117992693874,weak_or_moderate
CHEMBL1526855,1,1180.0,1180.0,1180.0,5.928117992693874,weak_or_moderate
CHEMBL1349646,1,1190.0,1190.0,1190.0,5.924453038607469,weak_or_moderate
CHEMBL1450196,1,1190.0,1190.0,1190.0,5.924453038607469,weak_or_moderate
CHEMBL1341867,1,1200.0,1200.0,1200.0,5.920818753952375,weak_or_moderate
CHEMBL1348980,1,1200.0,1200.0,1200.0,5.920818753952375,weak_or_moderate
CHEMBL1540603,1,1200.0,1200.0,1200.0,5.920818753952375,weak_or_moderate
CHEMBL1613716,1,1200.0,1200.0,1200.0,5.920818753952375,weak_or_moderate
CHEMBL1319867,1,1210.0,1210.0,1210.0,5.917214629683549,weak_or_moderate
CHEMBL1516744,1,1210.0,1210.0,1210.0,5.917214629683549,weak_or_moderate
CHEMBL1522941,1,1210.0,1210.0,1210.0,5.917214629683549,weak_or_moderate
CHEMBL1724435,1,1210.0,1210.0,1210.0,5.917214629683549,weak_or_moderate
CHEMBL1393840,1,1220.0,1220.0,1220.0,5.913640169325252,weak_or_moderate
CHEMBL1578997,1,1220.0,1220.0,1220.0,5.913640169325252,weak_or_moderate
CHEMBL1432973,1,1240.0,1240.0,1240.0,5.906578314837764,weak_or_moderate
CHEMBL3210366,1,1240.0,1240.0,1240.0,5.906578314837764,weak_or_moderate
CHEMBL581677,1,1240.0,1240.0,1240.0,5.906578314837764,weak_or_moderate
CHEMBL1347586,1,1250.0,1250.0,1250.0,5.903089986991944,weak_or_moderate
CHEMBL1350983,1,1250.0,1250.0,1250.0,5.903089986991944,weak_or_moderate
CHEMBL1364896,1,1250.0,1250.0,1250.0,5.903089986991944,weak_or_moderate
CHEMBL1395907,1,1250.0,1250.0,1250.0,5.903089986991944,weak_or_moderate
CHEMBL1967862,1,1260.0,1260.0,1260.0,5.899629454882437,weak_or_moderate
CHEMBL3196913,1,1260.0,1260.0,1260.0,5.899629454882437,weak_or_moderate
